title_s,abstract_s,keyword_s,authFullName_s,publicationDateY_i
Speech Perception and Implementation in a Virtual Medical Assistant,"In emergency medical procedures\, positive and trusting interactions between followers and leaders are imperative. That interaction is even more important when a virtual agent assumes the leader role and a human assumes the follower role. In order to manage the human-computer interaction\, situational leadership is employed to match the human follower to an appropriate leadership style embodied by the agent. Situational leadership was used to create 33 utterances indicative of the four different leadership styles. A participant evaluation was then carried out in order to examine (1) whether perceptions of leader trust and motivation vary dependent on both readiness level and utterance syntax and (2) whether follower ability and willingness are affected by the leader’s speech. We found that general perceptions of leadership behavior influenced follower performance and that the leader’s speech influences followers’ ability. Finally\, we demonstrate how the results of this study are implemented in a virtual agent system.","Situational leadership,Medicine,Speech,Virtual agent,Embodied conversational agent","Aryana Collins Jackson,Yann Glémarec,Elisabetta Bevacqua,Pierre de Loor,Ronan Querrec",2022
How to Grasp the Complexity of Self-Organised Robot Swarms?,"Robot swarms consist of large numbers of autonomous robots\, whose behaviour has been greatly inspired by existing complex biological\, physical or chemical systems. This is especially the case for behaviours that involve mechanisms leading to spatial self-organisation of robots. The complex nature of these behaviours prevents a human operator from keeping a mental model of them\, which makes it difficult to interact with them\, even though this is necessary in certain cases: prediction of a loss of stability\, detection of blocking situations\, etc. How to allow an operator to grasp the complexity of self-organised robot swarms? This article aims at providing leads to answer this question\, by investigating what humans are capable of perceiving of a complex system\, and what additional information could be needed to enable them to understand its dynamics and state\, and to predict the effects of their control. We first present what an operator is able to perceive from a large number of agents\, self-organised or not\, through a state of the art of existing works in cognitive sciences\, vision and swarm robotics. Secondly\, we identify in the literature the different types of information on robot swarms that are transmitted to the operator\, with the aim of facilitating his perception and improving his understanding. Finally\, we discuss what could be the information needed to build a mental model of the operator\, the avenues being explored and the possible challenges to be taken into account.","Robot Swarm,Self-Organisation,Perception,Interaction","Jérémy Rivière,Aymeric Hénard,Etienne Peillard,Sébastien Kubicki,Gilles Coppin",2023
Detection of Removed Objects in 3D Meshes Using Up-to-Date Images for Mixed-Reality Applications,"Precise knowledge of the real environment is a prerequisite for the integration of the real and virtual worlds in mixed-reality applications. However\, real-time updating of a real environment model is a costly and difficult process; therefore\, hybrid approaches have been developed: An updated world model can be inferred from an offline acquisition of the 3D world\, which is then updated online using live image sequences under the condition of developing fast and robust change detection algorithms. Current algorithms are biased toward object insertion and often fail in object removal detection; in an environment where there is uniformity in the background—in color and intensity—the disappearances of foreground objects between the 3D scan of a scene and the capture of several new pictures of said scene are difficult to detect. The novelty of our approach is that we circumvent this issue by focusing on areas of least change in parts of the scene that should be occluded by the foreground. Through experimentation on realistic datasets\, we show that this approach results in better detection and localization of removed objects. This technique can be paired with an insertion detection algorithm to provide a complete change detection framework","Change detection,Mixed reality,3D model,Image sequence,Projection,Occluding object,Foreground object","Olivier Roupin,Matthieu Fradet,Caroline Baillard,Guillaume Moreau",2021
"Tangible Interactions to Navigate Through Space and Time Inside a Virtual Environment,Interactions Tangibles pour Naviguer Spatialement et Temporellement au sein d'un Environnement Virtuel",,"Tangible User Interface,Virtual Reality,Cultural Heritage","Pierre Mahieux,Sébastien Kubicki,Sylvain Laubé,Ronan Querrec",2021
"Augmented Reality Authoring of Digital Twins: Design\, Implementation and Evaluation in an Industry 4.0 Context","This paper deals with Digital Twins (DTs) for Industry 4.0 factories\, and their implementation in the context of a reconfigurable factory. This context implies a modification of the layout of the workstations during production\, and thus requires a live update of the digital twins according to these modifications. We needed this update done by the operators directly on the workstations using an AR authoring tool. A literature review helped us to determine the criteria that a tool should fulfill in order to achieve this goal. The most important criteria are that the tool should be suitable for use by operators not trained in AR\, that the learning curve should be short\, and that it should be usable in a reconfigurable factory context. We created a DT containing all the necessary factory data and 3D models of the workstation interaction zones of a real assembly line. We then developed a tool enabling operators to match the DTs with their physical twin (PT) in AR\, as well as to update their position in case of a reconfiguration. The experimentation we carried out confirms our analysis and shows us that it is possible to deploy a DT in a factory quite simply if the positioning of the DTs is done by direct manipulation (the 3D objects are co-located with the operator's hand) with the help of an AR display device.","Digital Twin,Augmented Reality,Gestural Interaction,Industry 40,AR Authoring","Pierre Begout,Sébastien Kubicki,Emmanuel Bricard,Thierry Duval",2022
"Mirror\, Mirror on My Phone: Investigating Dimensions of Self-Face Perception Induced by Augmented Reality Filters","The main use of Augmented Reality (AR) today for the general public is in applications for smartphones. In particular\, social network applications allow the use of many AR filters\, modifying users' environments but also their own image. These AR filters are increasingly and frequently being used and can distort in many ways users' facial traits. Yet\, we still do not know clearly how users perceive their faces augmented by these filters. In this paper\, we present a study that aims to evaluate the impact of different filters\, modifying several facial features such as the size or position of the eyes\, the shape of the face or the orientation of the eyebrows\, or adding virtual content such as virtual glasses. These filters are evaluated via a self-evaluation questionnaire\, asking the participants about the personality\, emotion\, appeal and intelligence traits that their distorted face conveys. Our results show relative effects between the different filters in line with previous results regarding the perception of others. However\, they also reveal specific effects on self-perception\, showing\, inter alia\, that facial deformation decreases participants' credence towards their image. The findings of this study covering multiple factors allow us to highlight the impact of face deformation on user perception but also the specificity related to this use in AR\, paving the way for new works focusing on the psychological impact of such filters.","Augmented Reality,Self-perception,Face perception","Rebecca Fribourg,Etienne Peillard,Rachel Mcdonnell",2021
Simulations of a Computational Model for a Virtual Medical Assistant,"We propose a virtual medical assistant to guide both novice and expert caregivers through a procedure without the direct help of medical professionals. Our medical assistant uses situational leadership to handle all interaction with a caregiver\, which works by identifying the readiness level of the caregiver in order to match them with an appropriate style of communication. The agent system (1) obtains caregiver behavior during the procedure\, (2) calculates a readiness level of the caregiver using that behavior\, and (3) generates appropriate agent behavior to progress the procedure and maintain a positive interaction with the caregiver.","Intelligent Agents,Embodied Conversational Agents,Human-computer Interaction,Situational Leadership,Medicine,Simulation","Aryana Collins Jackson,Marlène Gilles,Eimar Wall,Elisabetta Bevacqua,Pierre de Loor,Ronan Querrec",2022
Handwriting for Efficient Text Entry in Industrial VR Applications: Influence of Board Orientation and Sensory Feedback on Performance,"Text entry in Virtual Reality (VR) is becoming an increasingly important task as the availability of hardware increases and the range of VR applications widens. This is especially true for VR industrial applications where users need to input data frequently. Large-scale industrial adoption of VR is still hampered by the productivity gap between entering data via a physical keyboard and VR data entry methods. Data entry needs to be efficient\, easy-to-use and to learn and not frustrating. In this paper\, we present a new data entry method based on handwriting recognition (HWR). Users can input text by simply writing on a virtual surface. We conduct a user study to determine the best writing conditions when it comes to surface orientation and sensory feedback. This feedback consists of visual\, haptic\, and auditory cues. We find that using a slanted board with sensory feedback is best to maximize writing speeds and minimize physical demand. We also evaluate the performance of our method in terms of text entry speed\, error rate\, usability and workload. The results show that handwriting in VR has high entry speed\, usability with little training compared to other controller-based virtual text entry techniques. The system could be further improved by reducing high error rates through the use of more efficient handwriting recognition tools. In fact\, the total error rate is 9.28% in the best condition. After 40 phrases of training\, participants reach an average of 14.5 WPM\, while a group with high VR familiarity reach 16.16 WPM after the same training. The highest observed textual data entry speed is 21.11 WPM.","Virtual reality,Réalité virtuelle","Nicolas Fourrier,Guillaume Moreau,Mustapha Benaouicha,Jean-Marie Normand",2023
Supervised classification of operator functional state based on physiological data: application to drones swarm piloting,,,"Alexandre Kostenko,Philippe Rauffet,Gilles Coppin",2021
The sense of embodiment in Virtual Reality and its assessment methods,"The sense of embodiment refers to the sensations of being inside\, having\, and controlling a body. In virtual reality\, it is possible to substitute a person's body with a virtual body\, referred to as an avatar. Modulations of the sense of embodiment through modifications of this avatar have perceptual and behavioural consequences on users that can influence the way users interact with the virtual environment. Therefore\, it is essential to define metrics that enable a reliable assessment of the sense of embodiment in virtual reality to better understand its dimensions\, the way they interact\, and their influence on the quality of interaction in the virtual environment. In this review\, we first introduce the current knowledge on the sense of embodiment\, its dimensions (senses of agency\, body ownership\, and self-location)\, and how they relate the ones with the others. Then\, we dive into the different methods currently used to assess the sense of embodiment\, ranging from questionnaires to neurophysiological measures. We provide a critical analysis of the existing metrics\, discussing their advantages and drawbacks in the context of virtual reality. Notably\, we argue that real-time measures of embodiment\, which are also specific and do not require double tasking\, are the most relevant in the context of virtual reality. Electroencephalography seems a good candidate for the future if its drawbacks (such as its sensitivity to movement and practicality) are improved. While the perfect metric has yet to be identified if it exists\, this work provides clues on which metric to choose depending on the context\, which should hopefully contribute to better assessing and understanding the sense of embodiment in virtual reality.","Virtual reality,Review,Embodiment,Evaluation,Assessment method","Martin Guy,Jean-Marie Normand,Camille Jeunet-Kelway,Guillaume Moreau",2023
Embedded Computation Architectures for Autonomy in Unmanned Aircraft Systems (UAS),"This paper addresses the challenge of embedded computing resources required by future autonomous Unmanned Aircraft Systems (UAS). Based on an analysis of the required onboard functions that will lead to higher levels of autonomy\, we look at most common UAS tasks to first propose a classification of UAS tasks considering categories such as flight\, navigation\, safety\, mission and executing entities such as human\, offline machine\, embedded system. We then analyse how a given combination of tasks can lead to higher levels of autonomy by defining an autonomy level. We link UAS applications\, the tasks required by those applications\, the autonomy level and the implications on computing resources to achieve that autonomy level. We provide insights on how to define a given autonomy level for a given application based on a number of tasks. Our study relies on the state-of-the-art hardware and software implementations of the most common tasks currently used by UAS\, also expected tasks according to the nature of their future missions. We conclude that current computing architectures are unlikely to meet the autonomy requirements of future UAS. Our proposed approach is based on dynamically reconfigurable hardware that offers benefits in computational performance and energy usage. We believe that UAS designers must now consider the embedded system as a masterpiece of the system.",,"Luis Mejias,Jean-Philippe Diguet,Catherine Dezan,Duncan Campbell,Jonathan Kok,Gilles Coppin",2021
Human Model For Industrial System And Product Design In Industry 5.0: A Case Study,"Human performance models can be included in industrial system models to improve the design of the industrial system\, manufacturing processes\, and product design. In our use case\, a critical process in the production of a new airplane was being considered for automation. This process requires the highest quality assurance and is normally performed manually. Robot assistance could improve quality and efficiency. A human performance model focused on worker fatigue was developed\, taking into account characteristics of the workers\, robots\, and tasks. Two different automation scenarios (fully manual\, semi-automated)\, with different worker characteristics such as skill\, age\, motivation\, etc. were studied. Using historical production line data in the fully manual scenario\, and simulated data for the semi-automated scenario\, global fatigue scores and graphical visualization were generated by the model for each scenario\, allowing the system architects to understand the effects of the future production system on workers\, including errors\, time lost\, costs and overall resilience of the system.","Industry 50,Production and manufacturing,Simulation model,Worker fatigue","Arnaud Allemang--Trivalle,Jérémie Donjat,Gaëlic Bechu,Gilles Coppin,Oliver W. Klaproth,Andreas Mitschke,Arnd Schirrmann,Mathieu Chollet,Caroline Gl Cao",2023
Towards a Sensitive Urban Wind Representation in Virtual Reality,"Wind can influence people’s behavior and their way of inhabiting an architectural or urban space. Furthermore\, virtual reality (VR) enables the simulation of different physical and sensitive phenomena such as the wind. We aim to analyze the effects of different wind representations in terms of perception of its properties and sense of presence in VR. We carry out two within-subject studies aiming at evaluating different wind representation suggestions (including audiovisual and tactile stimuli) to identify their effects on wind properties’ perception and sense of presence in the VR scene. Our analysis showed significant effects of tactile restitution over the visual effects used in the study\, both for understanding wind properties and for increasing the sense of presence in the VR scene. The tactile condition (T) reduced the estimation error of wind direction by 27% compared to the visual condition (V). The wind force error was reduced by 9.8% using (T) with (V). (T) increased the sense of presence by 12.2% compared to (V). Our second experiment showed an overestimation of the wind force perceived compared to the reference value of the Beaufort scale. For the maximum force value evaluated\, the average result was 91% higher than the reference value\, while for the lower\, the average answer was 77% higher than the reference value. Previous studies have evaluated wind rendering in virtual reality\, and others have studied the visualization of wind simulation results. To our knowledge\, our study is the first to compare the perception of these two types of representations as well as the effects of wind on elements of the context. We also compared the wind perception to a reference-based method\, the Beaufort scale.","Wind perception,Wind representation,Virtual reality,User experiment,Sense of presence,Vizualisation,Urban 3D model,Modeling & Simulation","Gabriel Giraldo,Myriam Servières,Guillaume Moreau",2022
"Towards geometric and semantic change detection for mixed reality experiences,Vers une détection des changements géométriques et sémantiques pour des expériences de réalité mixte","Photorealistic Augmented Reality (AR) –or “Mixed Reality”– is applicable to various immersive experiences\, from entertainment to simulation-based training\, and for previsualization tasks. The realistic integration of virtual elements requires an accurate and up-to-date model of the real scene's geometry and semantic contents. The 3D structure of the environment impacts the visual rendering as well as the spatial layout of the virtual content and its interactions with real objects. Given the hardware constraints of widely available AR devices\, it is impractical to thoroughly scan the geometry of the scene with each use. Still\, some the scene's structural information will remain constant over time only requiring local updates to accurately represent the scene's current state. The aim of this doctoral study has been to provide the means to identify and correct areas of change in a scene through detection of inconsistencies between a prior representation and an current observations. In this thesis\, we present the completion of a lightweight reprojection-based geometric change detection framework. We also present the elaboration of a graph-based semantic scene model for Mixed Reality\, and a method for its generation from semantic analysis. This model will then be used in a 3D scene registration system\, in order to test its applicability to the localization task in AR.,La Réalité Augmentée (RA) photoréaliste (« Réalité Mixte ») est utile pour diverses applications immersives\, du divertissement visuel à la formation par simulation\, et pour la prévisualisation d'aspect. L'intégration réaliste d’éléments virtuels dans une scène nécessite un modèle à jour de sa géométrie et son contenu sémantique. La structure 3D d’un environnement impacte le rendu visuel ainsi que l'organisation spatiale du contenu virtuel et ses interactions avec le réel. En raison des limitations matérielles des appareils RA grand public\, faire un scan géométrique exhaustif de la scène à chaque utilisation est irréaliste. Néanmoins\, une partie de l'information structurelle dans la scène reste inchangée et ne requiert que des mises à jour locales pour rester fidèle au réel. Cette thèse a pour objectif de donner les moyens d'identifier et corriger les régions changeantes d'une scène en détectant les différences entre une représentation antérieure et des observations courantes. Nous présenterons un nouveau système de détection de changements géométrique léger\, utilisant une méthode de reprojection d'images. Nous présenterons également l'élaboration d'un modèle sémantique de scène pour la Réalité Mixte à base de graphes\, ainsi qu'une méthode de génération de ce modèle par analyse sémantique. Ce même modèle sera alors exploité dans un système d'alignement de scènes 3D\, pour évaluer son applicabilité à la localisation en RA.","Mixed reality,Change detection,Semantic analysis,3D reconstruction,Réalité mixte,Détection de changements,Analyse sémantique,Reconstruction 3D",Olivier Roupin,2023
"Outil d'authoring 3D du jumeau numérique de lignes d'assemblage pour augmenter l'opérateur de l'usine du futur,3D authoring tool of the digital twin of assembly lines to augment the operator of the factory of the future","Cette thèse traite des jumeaux numériques pour les usines de l'industrie 4.0 et de leur mise en œuvre dans le cadre d'une usine reconfigurable\, dans un contexte d'assistance aux opérateurs des lignes de production à l'aide de techniques de Réalité Augmentée (RA). Il faut pouvoir modifier l'agencement du poste de travail pendant la production\, et nécessite donc une mise à jour en direct des jumeaux numériques en fonction de ces modifications\, faite par les opérateurs directement sur les postes de travail\, à l'aide d'un outil basé RA. Une revue de la littérature a aidé à déterminer les critères qu'un outil doit remplir pour atteindre cet objectif : l'outil doit être adapté à une utilisation par des opérateurs non formés à la RA\, la courbe d'apprentissage doit être courte\, et il doit être utilisable dans un contexte d'usine reconfigurable. Un modèle de Jumeau Numérique a été proposé afin de contenir toutes les données d'usine nécessaires et les modèles 3D des zones d'interaction d'un vrai poste de travail d'assemblage. Un outil a ensuite été développé pour permettre aux opérateurs de faire correspondre les modèles 3D des jumeaux numériques avec leur jumeau physique en RA\, ainsi que pour mettre à jour leur position en cas de reconfiguration. L'expérimentation effectuée confirme que le raisonnement est bon si le positionnement des modèles 3D de ces Jumeaux Numériques se fait par manipulation directe (les objets 3D sont co-localisés avec la main de l'opérateur) à l'aide d'un dispositif d'affichage RA.,This thesis deals with digital twins for factories in Industry 4.0 and their implementation in the context of a reconfigurable factory\, in the context of assisting production line operators using techniques of Augmented Reality (AR). It is necessary to be able to modify the layout of the workstation during production\, and therefore requires a live update of the digital twins according to these modifications\, made by the operators directly on the workstations\, using a AR based tool. A review of the litterature helped determine the criteria a tool must meet to achieve this goal: the tool must be suitable for use by non-AR trained operators\, the learning curve must be short\, and it must be usable in a reconfigurable factory context. A Digital Twin model has been proposed to contain all the necessary factory data and 3D models of the interaction areas of a real assembly workstation. A tool was then developed to allow operators to match the 3D models of the digital twins with their physical twin in AR\, as well as update their position in the event of a reconfiguration. The experimentation carried out confirms that the reasoning is correct if the positioning of the 3D models of theses Digital Twins is done by direct manipulation (the 3D objects are co-located with the operator's hand) using an AR display device.","3D authoring tool for AR,AR authoring,Digital twin,Industry 40,Authoring 3D,Authoring RA,Jumeau numérique,Industrie 40",Pierre Bégout,2022
Direct and Indirect vSLAM Fusion for Augmented Reality,"Augmented reality (AR) is an emerging technology that is applied in many fields. One of the limitations that still prevents AR to be even more widely used relates to the accessibility of devices. Indeed\, the devices currently used are usually high end\, expensive glasses or mobile devices. vSLAM (visual simultaneous localization and mapping) algorithms circumvent this problem by requiring relatively cheap cameras for AR. vSLAM algorithms can be classified as direct or indirect methods based on the type of data used. Each class of algorithms works optimally on a type of scene (e.g.\, textured or untextured) but unfortunately with little overlap. In this work\, a method is proposed to fuse a direct and an indirect methods in order to have a higher robustness and to offer the possibility for AR to move seamlessly between different types of scenes. Our method is tested on three datasets against state-of-the-art direct (LSD-SLAM)\, semi-direct (LCSD) and indirect (ORBSLAM2) algorithms in two different scenarios: a trajectory planning and an AR scenario where a virtual object is displayed on top of the video feed; furthermore\, a similar method (LCSD SLAM) is also compared to our proposal. Results show that our fusion algorithm is generally as efficient as the best algorithm both in terms of trajectory (mean errors with respect to ground truth trajectory measurements) as well as in terms of quality of the augmentation (robustness and stability). In short\, we can propose a fusion algorithm that\, in our tests\, takes the best of both the direct and indirect methods.",,"Mohamed Outahar,Guillaume Moreau,Jean-Marie Normand",2021
The Spherical Retractable Bubble Space: an Egocentric Graph Visualization throughout a Retractable Visualization Space,"In this paper we present a new egocentric metaphor for graph visualization that consists in positioning a graph between two concentric spheres of different radii. It improves the expansion of the nodes in space\, contrary to the 3D spatialization algorithms. Edge drawing is optimized by pushing all the edges into the area delimited by our two concentric spheres\, so that a user can move freely without being encumbered by edges. Our new metaphor also makes it possible to reduce the display angles to have a global view of the graph without leaving the egocentricity.","Big Data Visualization,Virtual Reality,Graph Visualization","Piriziwè Kobina,Thierry Duval,Laurent Brisson",2023
Improving Neural Architecture Search by Mixing a FireFly algorithm with a Training Free Evaluation,"Neural Architecture Search (NAS) algorithms are used to automate the design of deep neural networks. Finding the best architecture for a given dataset can be time consuming since these algorithms have to explore a large number of networks\, and score them according to their performances to choose the most appropriate one. In this work\, we propose a novel metric that uses the Intra-Cluster Distance (ICD) score to evaluate the ability of an untrained model to distinguish between data in order to approximate its quality. We also use an improved version of the FireFly algorithm\, more robust to the local optimums problem than the baseline FireFly algorithm\, as a search technique to find the best neural network model adapted to a specific dataset. Experimental results on the different NAS Benchmarks show that our metric is valid for either scoring CNNs and RNNs\, and that our proposed FireFly algorithm can improve the result obtained by the state-of-art training-free methods",,"Nassim Mokhtari,Alexis Nédélec,Marlene Gilles,Pierre de Loor",2022
Virtual Workspace Positioning Techniques during Teleportation for Co-located Collaboration in Virtual Reality using HMDs,,,"Yiran Zhang,Thi Thuong Huyen Nguyen,Nicolas Ladevèze,Cédric Fleury,Patrick Bourdot",2022
How Can One Share a User’s Activity during VR Synchronous Augmentative Cooperation?,"Collaborative virtual environments allow people to work together while being distant. At the same time\, empathic computing aims to create a deeper shared understanding between people. In this paper\, we investigate how to improve the perception of distant collaborative activities in a virtual environment by sharing users’ activity. We first propose several visualization techniques for sharing the activity of multiple users. We selected one of these techniques for a pilot study and evaluated its benefits in a controlled experiment using a virtual reality adaptation of the NASA MATB-II (Multi-Attribute Task Battery). Results show (1) that instantaneous indicators of users’ activity are preferred to indicators that continuously display the progress of a task\, and (2) that participants are more confident in their ability to detect users needing help when using activity indicators.","Virtual reality,Collaborative virtual environments,Empathic computing,Collaborative awareness","Thomas Rinnert,James Walsh,Cédric Fleury,Gilles Coppin,Thierry Duval,Bruce Thomas",2023
